ingredient_group,recipe,recipe_new,order,technique,url
arrautza,Orburuak urdaiazpiko eta arrautza galdarraztatuekin,orburuak_urdaiazpiko_eta_arrautza_galdarraztatuekin,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburuak_urdaiazpiko_eta_arrautza_galdarraztatuekin
arrautza,Otarrainxkak ziza kremarekin eta arrautzekin,otarrainxkak_ziza_kremarekin_eta_arrautzekin,bigarren platerak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Otarrainxkak_ziza_kremarekin_eta_arrautzekin
arrautza,Pasta freskoa 2,pasta_freskoa2,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Pasta_freskoa_2
arrautza,Patata tortila,patata_tortila,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Patata_tortila
arrautza,Patata tortilla,patata_tortila,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Patata_tortilla
arrautza,Petit-suisseak krema eta txokolate beroarekin,petit-suisseak_krema_eta_txokolate_beroarekin,azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Petit-suisseak_krema_eta_txokolate_beroarekin
arrautza,Prantxikaren bizkotxoa,prantxikaren_bizkotxoa,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Prantxikaren_bizkotxoa
arrautza,Sagar tarta 2,sagar_tarta2,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Sagar_tarta_2
arrautza,Tiramisu,tiramisu,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tiramisu
arrautza,Tiramisu moussea arroz esne kremarekin,tiramisu_moussea_arroz_esne_kremarekin,azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tiramisu_moussea_arroz_esne_kremarekin
