ingredient_group,recipe,order,technique,url
arraina,Tipula eta piper sueztitzea,,sueztitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tipula_eta_piper_sueztitzea
arraina,Ttoro zopa,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ttoro_zopa
arraina,Txitxardin entsalada,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txitxardin_entsalada
arraina,Txitxardinak betiko eran,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txitxardinak_betiko_eran
arraina,Txitxarroa eskabetxean,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txitxarroa_eskabetxean
arraina,Txitxarroa labean,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txitxarroa_labean
arraina,Txitxarroa piperrada eta patata purearekin,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txitxarroa_piperrada_eta_patata_purearekin
arraina,"Txitxarroa plantxan piper erre, tipula eta gari zainzuriekin",bigarren platerak,plantxan,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txitxarroa_plantxan_piper_erre,_tipula_eta_gari_zainzuriekin"
arraina,Urraburua gatzetan,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Urraburua_gatzetan
arraina,"Zapo, kuia txiki eta txanpiñoi brotxetak",bigarren platerak,,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Zapo,_kuia_txiki_eta_txanpi%C3%B1oi_brotxetak"
arrautza,Ananaz beteriko krepeak,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ananaz_beteriko_krepeak
arrautza,Arrautza budina,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_budina
arrautza,Arrautza egosia,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_egosia
arrautza,Arrautza frijitua,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_frijitua
arrautza,Arrautza galdarraztatua,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_galdarraztatua
arrautza,Arrautza habia,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_habia
arrautza,Arrautza mollet eran,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_mollet_eran
arrautza,"Arrautza, uretan pasea",,,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza,_uretan_pasea"
arrautza,Arrautzak kardu eta kutixiekin,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautzak_kardu_eta_kutixiekin
arrautza,Arrautzarekin labean eginiko gazta tarta,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautzarekin_labean_eginiko_gazta_tarta
arrautza,"Arroz odolkia, piper eta galeper arrautzekin",lehen platerak,,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_odolkia,_piper_eta_galeper_arrautzekin"
arrautza,Arto irin tortillak,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arto_irin_tortillak
arrautza,Bakailao tortilla,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_tortilla
arrautza,Baratxuri zopa 2,lehen platerak,zopak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baratxuri_zopa_2
arrautza,Baratxuri zopa bakailaoarekin,lehen platerak,zopak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baratxuri_zopa_bakailaoarekin
arrautza,Barazki eta txekor azpizun erregosia,lehen platerak,erregosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_txekor_azpizun_erregosia
arrautza,Barazki krepeak,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_krepeak
arrautza,Barazki menestra 2,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_menestra_2
arrautza,Barazki tortilla,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_tortilla
arrautza,Esne frijituak,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Esne_frijituak
arrautza,Etxeko bizkotxoa marrubiekin eta esne gainarekin,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Etxeko_bizkotxoa_marrubiekin_eta_esne_gainarekin
arrautza,Etxeko gailetak kremaz beteak,azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Etxeko_gailetak_kremaz_beteak
arrautza,Flamenka eran eginiko arrautzak,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Flamenka_eran_eginiko_arrautzak
arrautza,Galeper arrautza pintxoa,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Galeper_arrautza_pintxoa
arrautza,Galeperra arrautza egosia,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Galeperra_arrautza_egosia
arrautza,Kafe budina,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kafe_budina
arrautza,"Kardua, urdaiazpiko eta arrautza eskalfatuarekin",lehen platerak,,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kardua,_urdaiazpiko_eta_arrautza_eskalfatuarekin"
arrautza,Krema ingelesa,azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Krema_ingelesa
arrautza,Krema opila,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Krema_opila
arrautza,Kremaz beteriko krepeak,azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kremaz_beteriko_krepeak
arrautza,Marrubi eta kremazko hostopilak,azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marrubi_eta_kremazko_hostopilak
arrautza,Marrubi tarta 2,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marrubi_tarta_2
arrautza,Natilak,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Natilak
arrautza,Neguko boilur beltzen nahaskia,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Neguko_boilur_beltzen_nahaskia
arrautza,Ogi opilak,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ogi_opilak
arrautza,Oilasko eta arrautza kroketak,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Oilasko_eta_arrautza_kroketak
arrautza,Oilasko kroketak,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Oilasko_kroketak
arrautza,Onddo berria gorringoarekin,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Onddo_berria_gorringoarekin
arrautza,Ontzian eginiko arrautza,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ontzian_eginiko_arrautza
arrautza,"Orburua, arroz odolkia eta arrautza gorringoa plantxan",lehen platerak,plantxan,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburua,_arroz_odolkia_eta_arrautza_gorringoa_plantxan"
arrautza,Orburuak urdaiazpiko eta arrautza galdarraztatuekin,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburuak_urdaiazpiko_eta_arrautza_galdarraztatuekin
arrautza,Otarrainxkak ziza kremarekin eta arrautzekin,bigarren platerak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Otarrainxkak_ziza_kremarekin_eta_arrautzekin
arrautza,Pasta freskoa 2,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Pasta_freskoa_2
arrautza,Patata tortila,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Patata_tortila
arrautza,Patata tortilla,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Patata_tortilla
arrautza,Petit-suisseak krema eta txokolate beroarekin,azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Petit-suisseak_krema_eta_txokolate_beroarekin
arrautza,Prantxikaren bizkotxoa,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Prantxikaren_bizkotxoa
arrautza,Sagar tarta 2,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Sagar_tarta_2
arrautza,Tiramisu,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tiramisu
arrautza,Tiramisu moussea arroz esne kremarekin,azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tiramisu_moussea_arroz_esne_kremarekin
arrautza,Trufazko txokolate tarta,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Trufazko_txokolate_tarta
arrautza,Txekor muturrak bizkaitar saltsan,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txekor_muturrak_bizkaitar_saltsan
arrautza,Txokolate gailetak,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txokolate_gailetak
arrautza,Txokolatezko bizkotxo eta marrubi kopa,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txokolatezko_bizkotxo_eta_marrubi_kopa
arrautza,Txokolatezko boilur tarta,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txokolatezko_boilur_tarta
arrautza,Txokolatezko krepeak,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txokolatezko_krepeak
arrautza,Udaberri edo ziza hori nahaskia,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Udaberri_edo_ziza_hori_nahaskia
arrautza,Zainzuri freskoak udaberriko olio ozpinarekin,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Zainzuri_freskoak_udaberriko_olio_ozpinarekin
arrautza,"Zainzuri frijituak, ziazerba kremarekin",lehen platerak,frijitu,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Zainzuri_frijituak,_ziazerba_kremarekin"
arrautza,“ Tomate nahaskia,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/%E2%80%9C_Tomate_nahaskia
arroza,Arroz beltza,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_beltza
arroza,Arroz entsalada,,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_entsalada
arroza,Arroz esnea,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_esnea
arroza,Arroz esnea 2,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_esnea_2
arroza,Arroz hindua,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_hindua
arroza,"Arroz odolkia, piper eta galeper arrautzekin",lehen platerak,,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_odolkia,_piper_eta_galeper_arrautzekin"
arroza,Arroz osoa barazki salteatuekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_osoa_barazki_salteatuekin
arroza,Arroz osoa barazkiekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_osoa_barazkiekin
arroza,Arroz txuria,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_txuria
arroza,Arroz zopa,,zopak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_zopa
arroza,Arroz zuri egosia,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_zuri_egosia
arroza,Arroz zuria txirlekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_zuria_txirlekin
arroza,Arroz-odolki kruxpetak,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz-odolki_kruxpetak
arroza,Arroza abakandoarekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_abakandoarekin
arroza,Arroza barazkiekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_barazkiekin
arroza,Arroza japoniar eran egosia,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_japoniar_eran_egosia
arroza,Arroza oilasko eta curryarekin,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_oilasko_eta_curryarekin
arroza,Arroza oilaskoarekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_oilaskoarekin
arroza,Arroza Txibiekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_Txibiekin
arroza,Arroza txipiroiekin,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_txipiroiekin
arroza,Arroza Txipiroiekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_Txipiroiekin
arroza,Arrozezko odolki kruxpetak piper kremarekin,lehen platerak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrozezko_odolki_kruxpetak_piper_kremarekin
