recipe,ingredient_group,order,technique,url,origin,ingredients
Basa-arroza arroz-zuriarekin,arroza,lehen platerak,,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Basa_arroza,_arroz_zuriarekin",asia,arroz-zuria
Basa-arroza barazkiekin,arroza,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Basa_arroza_barazkiekin,asia,barazki
Baserriko-ogi-tosta berezia,oliba olioa,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baserriko_ogi_tosta_berezia,bertakoa,baserriko-ogi-tosta
Basmati-arroza entsaladan,"arroza, oliba olioa",lehen platerak,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Basmati_arroza_entsaladan,asia,
Basa-fruituen saltsa,fruta,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baso_fruituen_saltsa,,basa-fruituen
Basurdea saltsan,oliba olioa,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Basurdea_saltsan,,basurdea
Berdela eskabetxean,arraina,lehen platerak,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Berdela_eskabetxean,,berdela
Berdela labean piperradarekin,arraina,bigarren platerak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Berdela_labean_piperradarekin,bertakoa,"berdela, piperrada"
Bexamelaz eginiko haragi-betegaia,haragia,bigarren platerak,betea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bexamelaz_eginiko_haragi_betegaia,,bexamela
Bijiliako txitxirioak,lekaleak,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bijiliako_Txitxirioak,bertakoa,txitxirio
Biribilkia saltsan,haragia,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Biribilkia_saltsan,,
Bisigua labean,arraina,bigarren platerak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bisigua_labean,,bisigua
Bizkaitar-saltsa,arraina,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bizkaitar_saltsa,bertakoa,
Bruselazak borraja eta urdaiazpikoarekin,"haragia, barazkia",lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bruselazak_borraja_eta_urdaiazpikoarekin,espainia,"bruselaz, borraja, urdaiazpikoa"
Buia maionesarekin,itsaskia,lehen platerak,hotza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Buia_maionesarekin,,buia
Caprese entsalada,barazkia,lehen platerak,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Caprese_entsalada,,
Cesar entsalada,barazkia,lehen platerak,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Cesar_entsalada,,
Eperrak saltsan,oliba olioa,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Eperrak_saltsan,,eperr
Eperrak txokolate saltsan,txokolatea,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Eperrak_txokolate_saltsan,,"eperr, txokolate"
