recipe,ingredient,recipe_url,cleaned,order,technique
Barazki koka,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_koka,Barazki koka,,
Barazki krepeak,"Oliba olioa, Barazkia, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_krepeak, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_krepeak, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_krepeak",Barazki krepea,Lehen platerak,
Barazki lasagna,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_lasagna,Barazki lasagna,,
Barazki menestra,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_menestra,Barazki menestra,,
Barazki menestra2,"Oliba olioa, Barazkia, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_menestra_2, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_menestra_2, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_menestra_2",Barazki menestra2,,
Barazki moussaka,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_moussaka,Barazki moussaka,,
Barazki panatxea,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_panatxea,Barazki panatxea,,
Barazki purea,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_purea,Barazki purea,,
Barazki salda,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_salda,Barazki salda,,
Barazki salteatua,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_salteatua,Barazki salteatua,,
Barazki saltsa,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_saltsa,Barazki saltsa,,
Barazki tortilla,"Barazkia, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_tortilla, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_tortilla",Barazki tortilla,,
Barazkia tenpuran frijitua,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazkia_tenpuran_frijitua,Barazkia tenpuran frijitua,,Frijitu
Barazkiak dadotean sueztituak,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazkiak_dadotean_sueztituak,Barazkia dadotean sueztitua,,
Barbarin arraintxoak plantxan ziazerba eta otarrainxkekin,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barbarin_arraintxoak_plantxan_ziazerba_eta_otarrainxkekin,Barbarin arraintxoa plantxan ziazerba otarrainxkekin,Bigarren platerak,Plantxan
Barbarin frijituak,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barbarin_frijituak,Barbarin frijitua,,
Barraskilo salteatuak,Barraskiloak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barraskilo_salteatuak,Barraskilo salteatua,,
Barraskiloak bizkaitar erara,Barraskiloak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barraskiloak_bizkaitar_erara,Barraskiloa bizkait,,
