Title,Ingredient,Order,Technique,Url
Azpizuna plantxan,['Haragia'],['Bigarren platerak'],['Plantxan'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Azpizuna_plantxan']
Baba egosia,['Lekaleak'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baba_egosia']
Babak ilarrekin,['Lekaleak'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Babak_ilarrekin']
Babak urdaiazpikoarekin,['Lekaleak'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Babak_urdaiazpikoarekin']
Babarrun zuriak,['Lekaleak'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Babarrun_zuriak']
Bakailao brandada piperrekin eta ziazerbekin,"['Arraina', 'Oliba olioa']",['Bigarren platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_brandada_piperrekin_eta_ziazerbekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_brandada_piperrekin_eta_ziazerbekin']"
"Bakailao carpaccioa, ziza eta pinaziekin","['Arraina', 'Oliba olioa']",['Bigarren platerak'],['Carpaccio'],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_carpaccioa,_ziza_eta_pinaziekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_carpaccioa,_ziza_eta_pinaziekin']"
Bakailao edo legatz kroketak,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_edo_legatz_kroketak']
Bakailao entsalada,['Arraina'],['Bigarren platerak'],['Entsalada'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_entsalada']
Bakailao eta piper erre entsalada epela,"['Arraina', 'Oliba olioa']",['Lehen platerak'],['Entsalada'],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_eta_piper_erre_entsalada_epela', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_eta_piper_erre_entsalada_epela']"
Bakailao frijitua,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_frijitua']
Bakailao kokotxak gari zainzuri eta piper freskoekin,"['Arraina', 'Oliba olioa']",['Bigarren platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_kokotxak_gari_zainzuri_eta_piper_freskoekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_kokotxak_gari_zainzuri_eta_piper_freskoekin']"
Bakailao kokotxak saltsa berdean,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_kokotxak_saltsa_berdean']
Bakailao konfitatua piperrekin,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_konfitatua_piperrekin']
"Bakailao konfitatua, basmati arrozarekin eta ziazerbekin","['Arraina', 'Arroza', 'Barazkia', 'Oliba olioa']",['Bigarren platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_konfitatua,_basmati_arrozarekin_eta_ziazerbekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_konfitatua,_basmati_arrozarekin_eta_ziazerbekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_konfitatua,_basmati_arrozarekin_eta_ziazerbekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_konfitatua,_basmati_arrozarekin_eta_ziazerbekin']"
Bakailao masailak saltsa berdean patatekin,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_masailak_saltsa_berdean_patatekin']
Bakailao nahaskia,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_nahaskia']
Bakailao tortilla,"['Arraina', 'Arrautza']",['Bigarren platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_tortilla', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_tortilla']"
Bakailaoa bizkaitar erara,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoa_bizkaitar_erara']
Bakailaoa frijitua piper saltsa eta alioli gainerrea,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoa_frijitua_piper_saltsa_eta_alioli_gainerrea']
Bakailaoa pil-pil erara,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoa_pil-pil_erara']
Bakailaoaren brandada,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoaren_brandada']
Bakailo piper beteak,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailo_piper_beteak']
