recipe,ingredient,recipe_url,cleaned,order,technique,origin
Legatz kokotea labean,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_kokotea_labean,Legatz kokotea labean,Bigarren platerak,Entsalada,Bertakoa
Legatz kokotxak arrautzaztatuak,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_kokotxak_arrautzaztatuak,Legatz kokotxa arrautzaztatua,Bigarren platerak,Entsalada,Bertakoa
Legatz xerrak plantxan barazki eta baratxuri freskoekin,"Barazkia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_xerrak_plantxan,_barazki_eta_baratxuri_freskoekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_xerrak_plantxan,_barazki_eta_baratxuri_freskoekin",Legatz xerra plantxan barazki baratxuri freskoekin,Lehen platerak,Entsalada,Bertakoa
Legatza barazkiekin papillote erara,"Oliba olioa, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_barazkiekin,_papillote_erara, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_barazkiekin,_papillote_erara",Legatza barazkiekin papillote,Bigarren platerak,Egosi,
Legatza kokotea,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_kokotea,Legatza kokotea,Bigarren platerak,Entsalada,Bertakoa
Legatza otarrainxka saldarekin eta txirlekin,"Oliba olioa, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_otarrainxka_saldarekin_eta_txirlekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_otarrainxka_saldarekin_eta_txirlekin",Legatza otarrainxka salda txirlekin,Lehen platerak,Entsalada,Bertakoa
Legatza plantxan barazkiekin,"Oliba olioa, Barazkia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_plantxan,_barazkiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_plantxan,_barazkiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_plantxan,_barazkiekin",Legatza plantxan barazkiekin,Lehen platerak,Entsalada,
Legatza plantxan kuia txikiarekin eta pipermorroekin,"Oliba olioa, Barazkia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_plantxan,_kuia_txikiarekin_eta_pipermorroekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_plantxan,_kuia_txikiarekin_eta_pipermorroekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_plantxan,_kuia_txikiarekin_eta_pipermorroekin",Legatza plantxan kuia txikia pipermorroekin,Lehen platerak,Entsalada,
Legatza saltsa berdean txirla eta kokotxekin,"Itsaskia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_saltsa_berdean_txirla_eta_kokotxekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_saltsa_berdean_txirla_eta_kokotxekin",Legatza saltsa berdean txirla kokotxekin,Bigarren platerak,Entsalada,Bertakoa
Leka eta txanpiak otarrainxkekin,"Oliba olioa, Lekaleak, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Leka_eta_txanpiak_otarrainxkekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Leka_eta_txanpiak_otarrainxkekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Leka_eta_txanpiak_otarrainxkekin",Leka txanpia otarrainxkekin,Lehen platerak,,
Leka freskoak txipiroi eta tipula goxatuarekin,"Oliba olioa, Lekaleak, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Leka_freskoak_txipiroi_eta_tipula_goxatuarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Leka_freskoak_txipiroi_eta_tipula_goxatuarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Leka_freskoak_txipiroi_eta_tipula_goxatuarekin",Leka freskoa txipiroi tipula goxatua,Lehen platerak,Sueztitu,Bertakoa
Lupia labean,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Lupia_labean,Lupia labean,Bigarren platerak,Labekatu,
Lupia sagardo eta itsaski lurrinekin,Arraina,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Lupia,_sagardo_eta_itsaski_lurrinekin",Lupia sagardo itsaski lurrinekin,Bigarren platerak,,Bertakoa
Lurrunetan eginiko arroza,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Lurrunetan_eginiko_arroza,Lurrunetan eginiko arroza,Lehen platerak,Egosi,
Marmitakoa2,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marmitakoa_2,Marmitakoa2,Bigarren platerak,,Bertakoa
Marrubi eta kremazko hostopilak,"Fruta, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marrubi_eta_kremazko_hostopilak, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marrubi_eta_kremazko_hostopilak",Marrubi kremazko hostopila,Azkenburukoak,Kremak,
Marrubi gelatina,Fruta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marrubi_gelatina,Marrubi gelatina,Azkenburukoak,,
Marrubi izozkia,Fruta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marrubi_izozkia,Marrubi izozkia,Azkenburukoak,Hotza,
Marrubi marmelada,Fruta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marrubi_marmelada,Marrubi marmelada,Azkenburukoak,Hotza,
Marrubi tarta,Fruta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marrubi_tarta,Marrubi tarta,Azkenburukoak,Labekatu,
Marrubi tarta2,"Fruta, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marrubi_tarta_2, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marrubi_tarta_2",Marrubi tarta2,Azkenburukoak,Labekatu,
Marrubiak esne gain krema eta almendrekin,Fruta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marrubiak_esne-gain_krema_eta_almendrekin,Marrubia esne gain krema almend,Azkenburukoak,Kremak,
Mendrezka errea,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Mendrezka_errea,Mendrezka errea,Bigarren platerak,Erre,
Mihi arrain popietak ganbekin txakolin saltsan,Itsaskia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Mihi-arrain_popietak_ganbekin_txakolin_saltsan,Mihi arrain popieta ganbekin txakolin saltsan,Bigarren platerak,,Espainia
Muskuilu goxatuak,Itsaskia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Muskuilu_goxatuak,Muskuilu goxatua,Bigarren platerak,Sueztitu,
Muskuilu krema,Itsaskia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Muskuilu_krema,Muskuilu krema,Bigarren platerak,Kremak,
Nafarroako pikillo piperrak bakailaoz beteak,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Nafarroako_pikillo_piperrak_bakailaoz_beteak,Nafarroako pikillo piperra bakailaoz betea,Lehen platerak,Betea,Bertakoa
Nafarroako zainzuriak bakailao kokotxekin,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Nafarroako_zainzuriak_bakailao_kokotxekin,Nafarroako zainzuria bakailao kokotxekin,Lehen platerak,,Bertakoa
Nafarroako zainzuriak onddoz beteak,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Nafarroako_zainzuriak_onddoz_beteak,Nafarroako zainzuria onddoz betea,Lehen platerak,Betea,Bertakoa
Natilak,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Natilak,Natila,Azkenburukoak,,Bertakoa
Neguko boilur beltzen nahaskia,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Neguko_boilur_beltzen_nahaskia,Neguko boilur beltzen nahaskia,Lehen platerak,Frijitu,Espainia
Odolki kurruskatsuak pikillo piperrekin eta azarekin,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Odolki_kurruskatsuak_pikillo_piperrekin_eta_azarekin,Odolki kurruskatsua pikillo piper aza,Lehen platerak,,Bertakoa
Odolkiz beteriko brik orriak babarrun kremarekin,"Oliba olioa, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Odolkiz_beteriko_brik_orriak_babarrun_kremarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Odolkiz_beteriko_brik_orriak_babarrun_kremarekin",Odolkiz beteriko bri orria babarrun krema,Lehen platerak,Kremak,Bertakoa
Ogi opilak,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ogi_opilak,Ogi opila,Azkenburukoak,Labekatu,
Oilagorrak saltsan,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Oilagorrak_saltsan,Oilagorra saltsan,Bigarren platerak,,Espainia
Oilasko eta arrautza kroketak,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Oilasko_eta_arrautza_kroketak,Oilasko arrautza kroketa,Lehen platerak,Frijitu,
Oilasko izterrak txanpinoi krema eta curryarekin,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Oilasko_izterrak_txanpinoi_krema_eta_curryarekin,Oilasko izterra txanpinoi krema currya,Bigarren platerak,Kremak,Asia
Oilasko kroketak,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Oilasko_kroketak,Oilasko kroketa,Lehen platerak,Frijitu,
Olagarro entsalada epela,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Olagarro_entsalada_epela,Olagarro entsalada epela,Lehen platerak,Entsalada,
Onddo berria gorringoarekin,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Onddo_berria_gorringoarekin,Onddo berria gorringoa,Lehen platerak,,Bertakoa
Onddo carpaccioa,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Onddo_%27carpaccio%27a,Onddo carpaccioa,Lehen platerak,Carpaccio,Bertakoa
Onddoak papillote erara,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Onddoak_papillote_erara,Onddoa papillote,Lehen platerak,Egosi,Bertakoa
Onddoz beteriko kiribil kurruskatsua kuia kremarekin,Oliba olioa,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Onddoz_beteriko_kiribil_kurruskatsua,_kuia_kremarekin",Onddoz beteriko kiribil kurruskatsua kuia krema,Lehen platerak,Kremak,Bertakoa
Ontzian eginiko arrautza,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ontzian_eginiko_arrautza,Ontzian eginiko arrautza,Lehen platerak,,
Orburu pintxoa urdaiazpiko tomate eta piperrekin,Oliba olioa,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburu_pintxoa_urdaiazpiko,_tomate_eta_piperrekin",Orburu pintxoa urdaiazpiko tomate piper,Lehen platerak,Hotza,Espainia
Orburu txips ak eta orburu egosiak,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburu_%27txips%27-ak_eta_orburu_egosiak,Orburu txips a orburu egosia,Lehen platerak,Egosi,
Orburua arroz odolkia eta arrautza gorringoa plantxan,"Oliba olioa, Arroza, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburua,_arroz_odolkia_eta_arrautza_gorringoa_plantxan, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburua,_arroz_odolkia_eta_arrautza_gorringoa_plantxan, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburua,_arroz_odolkia_eta_arrautza_gorringoa_plantxan",Orburua arroz odolkia arrautza gorringoa plantxan,Lehen platerak,Plantxan,Bertakoa
Orburuak entsaladan raf tomateekin,Oliba olioa,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburuak_entsaladan,_raf_tomateekin",Orburua entsaladan raf tomateekin,Lehen platerak,Entsalada,
Orburuak urdaiazpiko eta arrautza galdarraztatuekin,"Oliba olioa, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburuak_urdaiazpiko_eta_arrautza_galdarraztatuekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburuak_urdaiazpiko_eta_arrautza_galdarraztatuekin",Orburua urdaiazpiko arrautza galdarraztatuekin,Lehen platerak,Egosi,Espainia
Orburuak urdaiazpiko ziazerba eta beasaingo odolkiarekin,Oliba olioa,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburuak,_urdaiazpiko,_ziazerba_eta_Beasaingo_odolkiarekin",Orburua urdaiazpiko ziazerba beasaingo odolkia,Lehen platerak,,Espainia
Orburuak urdaiazpikoarekin eta beasaingo odolkiarekin,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburuak_urdaiazpikoarekin_eta_Beasaingo_odolkiarekin,Orburua urdaiazpikoa beasaingo odolkia,Lehen platerak,,Espainia
Otarrainxka egosiak,Itsaskia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Otarrainxka_egosiak,Otarrainxka egosia,Bigarren platerak,Egosi,
Otarrainxka eta onddo milorria,"Oliba olioa, Itsaskia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Otarrainxka_eta_onddo_milorria, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Otarrainxka_eta_onddo_milorria",Otarrainxka onddo milorria,Lehen platerak,,Bertakoa
Otarrainxka plantxan edo zartaginean,Itsaskia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Otarrainxka_plantxan_edo_zartaginean,Otarrainxka plantxan zartaginean,Bigarren platerak,Plantxan,
Otarrainxkak ziza kremarekin eta arrautzekin,"Oliba olioa, Itsaskia, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Otarrainxkak_ziza_kremarekin_eta_arrautzekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Otarrainxkak_ziza_kremarekin_eta_arrautzekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Otarrainxkak_ziza_kremarekin_eta_arrautzekin",Otarrainxka ziza krema arrautzekin,Bigarren platerak,Kremak,
Otarrainxkaz eta barazkiz beteriko kirriskatsuak,"Itsaskia, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Otarrainxkaz_eta_barazkiz_beteriko_kirriskatsuak, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Otarrainxkaz_eta_barazkiz_beteriko_kirriskatsuak",Otarrainxkaz barazkiz beteriko kirriskatsua,Lehen platerak,Frijitu,
Paella valentziarra,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Paella_Valentziarra,Paella valentziarra,Lehen platerak,,Espainia
Pasta barazkiekin,Pasta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Pasta_barazkiekin,Pasta barazkiekin,Lehen platerak,,Italia
Pasta boloniar erara,Pasta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Pasta_boloniar_erara,Pasta boloni,Lehen platerak,,Italia
Pasta carbonara,Pasta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Pasta_carbonara,Pasta carbonara,Lehen platerak,,Italia
Pasta entsalada,Pasta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Pasta_entsalada,Pasta entsalada,Lehen platerak,Entsalada,Italia
Pasta freskoa,Pasta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Pasta_freskoa,Pasta freskoa,Lehen platerak,,Italia
Pasta freskoa2,"Oliba olioa, Pasta, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Pasta_freskoa_2, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Pasta_freskoa_2, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Pasta_freskoa_2",Pasta freskoa2,Lehen platerak,,Italia
Pasta perretxikoekin,Pasta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Pasta_perretxikoekin,Pasta perretxikoekin,Lehen platerak,,Italia
Patata berri zainzuri eta izokin ketu entsalada,Oliba olioa,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Patata_berri,_zainzuri_eta_izokin_ketu_entsalada",Patata berri zainzuri izokin ketu entsalada,Lehen platerak,Entsalada,
Patata tortila,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Patata_tortila,Patata tortila,Bigarren platerak,,Espainia
Patata tortilla,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Patata_tortilla,Patata tortilla,Bigarren platerak,Frijitu,
Patatak errioxar erara2,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Patatak_errioxar_erara_2,Patata erriox,Lehen platerak,,Espainia
Perloi egosia patatekin,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Perloi_egosia_patatekin,Perloi egosia patatekin,Bigarren platerak,Egosi,
Perrexil olio saltsa,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Perrexil_olio_saltsa,Perrexil olio saltsa,Lehen platerak,Entsalada,
Pesto saltsa,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Pesto_saltsa,Pesto saltsa,Lehen platerak,,Italia
Petit suisseak krema eta txokolate beroarekin,"Txokolatea, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Petit-suisseak_krema_eta_txokolate_beroarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Petit-suisseak_krema_eta_txokolate_beroarekin",Petit suissea krema txokolate beroa,Azkenburukoak,Kremak,
Pikillo piperrak odolkiz beteak,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Pikillo_piperrak_odolkiz_beteak,Pikillo piperra odolkiz betea,Lehen platerak,Betea,Bertakoa
Piper eta atun entsalada,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Piper_eta_atun_entsalada,Piper atun entsalada,Lehen platerak,Entsalada,
Piper morro erreak plantxan bakailao kokotxekin,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Piper_morro_erreak_plantxan_bakailao_kokotxekin,Piper morro errea plantxan bakailao kokotxekin,Lehen platerak,Erre,
Porru entsalada guakamole eta izokin ketuarekin,"Oliba olioa, Fruta","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Porru_entsalada,_guakamole_eta_izokin_ketuarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Porru_entsalada,_guakamole_eta_izokin_ketuarekin",Porru entsalada guakamole izokin ketua,Lehen platerak,Entsalada,Mexiko
Porru eta otarrainxka entsalada,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Porru_eta_otarrainxka_entsalada,Porru otarrainxka entsalada,Lehen platerak,Entsalada,
Prantxikaren bizkotxoa,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Prantxikaren_bizkotxoa,Prantxikaren bizkotxoa,Azkenburukoak,Labekatu,
Raf tomatea ahuntz gaztarekin,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Raf_tomatea_ahuntz_gaztarekin,Raf tomatea ahuntz gazta,Lehen platerak,Entsalada,
Raf tomatea txipiekin,"Oliba olioa, Itsaskia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Raf_tomatea_txipiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Raf_tomatea_txipiekin",Raf tomatea txipiekin,Lehen platerak,Entsalada,
Raf tomateen entsalada bakailaoarekin eta barazkiekin,Oliba olioa,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Raf_tomateen_entsalada,_bakailaoarekin_eta_barazkiekin",Raf tomateen entsalada bakailaoa barazkiekin,Lehen platerak,Entsalada,
Sagar tarta2,"Fruta, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Sagar_tarta_2, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Sagar_tarta_2",Sag tarta2,Azkenburukoak,Labekatu,
Sagar tatin gozoa,Fruta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Sagar_tatin_gozoa,Sag tatin gozoa,Azkenburukoak,,Frantzia
Sushi egiteko ozpina,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Sushi_egiteko_ozpina,Sushi ozpina,Lehen platerak,Entsalada,Asia
Tabbuleh entsalada,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tabbuleh_entsalada,Tabbuleh entsalada,Lehen platerak,Entsalada,
Tagliateliak antxoa eta cherry tomateekin,"Oliba olioa, Pasta","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tagliateliak_antxoa_eta_cherry_tomateekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tagliateliak_antxoa_eta_cherry_tomateekin",Tagliatelia antxoa cherry tomateekin,Lehen platerak,,Italia
Tagliatelle freskoak barazki eta curryarekin,"Oliba olioa, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tagliatelle_freskoak_barazki_eta_curryarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tagliatelle_freskoak_barazki_eta_curryarekin",Tagliatelle freskoa barazki currya,Lehen platerak,,Italia
Tagliatelleak otarrainxka eta txirlekin,"Oliba olioa, Itsaskia, Pasta","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tagliatelleak_otarrainxka_eta_txirlekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tagliatelleak_otarrainxka_eta_txirlekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tagliatelleak_otarrainxka_eta_txirlekin",Tagliatellea otarrainxka txirlekin,Lehen platerak,,Italia
Takoen betegai edo haragizko tinga,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Takoen_betegai_edo_haragizko_tinga,Takoen betegai haragizko tinga,Bigarren platerak,Betea,Mexiko
Tipula eta piper sueztitzea,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tipula_eta_piper_sueztitzea,Tipula piper sueztitzea,Bigarren platerak,Sueztitu,
Tiramisu,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tiramisu,Tiramisu,Azkenburukoak,,Italia
Tiramisu moussea arroz esne kremarekin,"Arroza, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tiramisu_moussea_arroz_esne_kremarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tiramisu_moussea_arroz_esne_kremarekin",Tiramisu moussea arroz esne krema,Azkenburukoak,Kremak,Italia
Tolosako babarrunak,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tolosako_babarrunak,Tolosako babarruna,Lehen platerak,,Bertakoa
Tomate entsalada bakailaoarekin,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tomate_entsalada_bakailaoarekin,Tomate entsalada bakailaoa,Lehen platerak,Entsalada,
Tomate entsalada gula eta leka freskoekin,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tomate_entsalada_gula_eta_leka_freskoekin,Tomate entsalada gula leka freskoekin,Lehen platerak,Entsalada,
Tomate mozzarella barrengorri eta urdaiazpiko pizza,Haragia,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tomate,_mozzarella,_barrengorri_eta_urdaiazpiko_pizza",Tomate mozzarella barrengorri urdaiazpiko pizza,Bigarren platerak,,Italia
Tomate nahaskia,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/%E2%80%9C_Tomate_nahaskia,Tomate nahaskia,Lehen platerak,Frijitu,
Tripaki behi mutur edo txerri hanka egosiak,Haragia,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tripaki,_behi_mutur,_edo_txerri_hanka_egosiak",Tripaki behi mutur txerri hanka egosia,Bigarren platerak,Egosi,
Ttoro zopa,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ttoro_zopa,Ttoro zopa,Lehen platerak,,Bertakoa
Tuterako kukuluak brie gazta eta txipiroiekin,"Oliba olioa, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tuterako_kukuluak_brie_gazta_eta_txipiroiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tuterako_kukuluak_brie_gazta_eta_txipiroiekin",Tuterako kukulua brie gazta txipiroiekin,Lehen platerak,,Bertakoa
Tuterako orburuak txerri solomo kalabazin eta curryarekin,Oliba olioa,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tuterako_orburuak_txerri_solomo,_kalabazin_eta_curryarekin",Tuterako orburua txerri solomo kalabazin currya,Lehen platerak,,Asia
Txanpinoi txapelak orburu eta ziazerbaz beteak,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txanpinoi_txapelak_orburu_eta_ziazerbaz_beteak,Txanpinoi txapela orburu ziazerbaz betea,Lehen platerak,Betea,
Txanpinoi txapelak plantxan arroz odolkiarekin,"Oliba olioa, Arroza, Haragia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txanpinoi_txapelak_plantxan,_arroz_odolkiarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txanpinoi_txapelak_plantxan,_arroz_odolkiarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txanpinoi_txapelak_plantxan,_arroz_odolkiarekin",Txanpinoi txapela plantxan arroz odolkia,Lehen platerak,Plantxan,Bertakoa
