recipe,ingredient,recipe_url,cleaned,order,technique,origin
Bakailao brandada piperrekin eta ziazerbekin,"Oliba olioa, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_brandada_piperrekin_eta_ziazerbekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_brandada_piperrekin_eta_ziazerbekin",Bakailao brandada piper ziazerbekin,Bigarren platerak,,Europa
Bakailao carpaccioa ziza eta pinaziekin,"Oliba olioa, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_carpaccioa,_ziza_eta_pinaziekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_carpaccioa,_ziza_eta_pinaziekin",Bakailao carpaccioa ziza pinaziekin,Lehen platerak,Carpaccio,
Bakailao edo legatz kroketak,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_edo_legatz_kroketak,Bakailao legatz kroketa,Lehen platerak,Entsalada,
Bakailao entsalada,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_entsalada,Bakailao entsalada,Lehen platerak,Entsalada,
Bakailao eta piper erre entsalada epela,"Oliba olioa, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_eta_piper_erre_entsalada_epela, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_eta_piper_erre_entsalada_epela",Bakailao piper erre entsalada epela,Lehen platerak,Entsalada,
Bakailao frijitua,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_frijitua,Bakailao frijitua,Bigarren platerak,Frijitu,
Bakailao kokotxak gari zainzuri eta piper freskoekin,"Oliba olioa, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_kokotxak_gari_zainzuri_eta_piper_freskoekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_kokotxak_gari_zainzuri_eta_piper_freskoekin",Bakailao kokotxa gari zainzuri piper freskoekin,Bigarren platerak,,Bertakoa
Bakailao kokotxak saltsa berdean,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_kokotxak_saltsa_berdean,Bakailao kokotxa saltsa berdean,Bigarren platerak,,Bertakoa
Bakailao konfitatua basmati arrozarekin eta ziazerbekin,"Oliba olioa, Arroza, Barazkia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_konfitatua,_basmati_arrozarekin_eta_ziazerbekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_konfitatua,_basmati_arrozarekin_eta_ziazerbekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_konfitatua,_basmati_arrozarekin_eta_ziazerbekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_konfitatua,_basmati_arrozarekin_eta_ziazerbekin",Bakailao konfitatua basmati arroza ziazerbekin,Lehen platerak,Konfitatu,Asia
Bakailao konfitatua piperrekin,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_konfitatua_piperrekin,Bakailao konfitatua piper,Bigarren platerak,Konfitatu,
Bakailao masailak saltsa berdean patatekin,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_masailak_saltsa_berdean_patatekin,Bakailao masaila saltsa berdean patatekin,Bigarren platerak,,Bertakoa
Bakailao nahaskia,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_nahaskia,Bakailao nahaskia,Lehen platerak,Frijitu,
Bakailao tortilla,"Arraina, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_tortilla, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_tortilla",Bakailao tortilla,Bigarren platerak,Frijitu,
Bakailaoa bizkaitar erara,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoa_bizkaitar_erara,Bakailaoa bizkait,Bigarren platerak,,Bertakoa
Bakailaoa frijitua piper saltsa eta alioli gainerrea,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoa_frijitua_piper_saltsa_eta_alioli_gainerrea,Bakailaoa frijitua piper saltsa alioli gainerrea,Bigarren platerak,Frijitu,
Bakailaoa pil pil erara,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoa_pil-pil_erara,Bakailaoa pil pil,Bigarren platerak,,Bertakoa
Bakailaoaren brandada,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoaren_brandada,Bakailaoaren brandada,Bigarren platerak,,Europa
Bakailo piper beteak,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailo_piper_beteak,Bakailo piper betea,Bigarren platerak,Betea,
Baratxuri zopa bakailaoarekin,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baratxuri_zopa_bakailaoarekin,Baratxuri zopa bakailaoa,Lehen platerak,Zopak,Bertakoa
Baratxuri zopa2,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baratxuri_zopa_2,Baratxuri zopa2,Lehen platerak,,Bertakoa
Barazki betegaia,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_betegaia,Barazki betegaia,Lehen platerak,Betea,
